s, N;
semipendent, A;
semipendulous, A;
semipendulously, v;
semipendulousness, N;
semiperceptive, A;
semipermanent, A;
semipermeability, N;
semipermeable, A;
semipermeable membrane, |h;
semiperviness, N;
semipervious, A;
semipetrified, A;
semiphenomenal, A;
semiphenomenally, v;
semiphilosophic, A;
semiphilosophical, A;
semiphilosophically, v;
semiphosphorescence, N;
semiphosphorescent, A;
semiphrenetic, A;
semipictorial, A;
semipictorially, v;
semipious, A;
semipiously, v;
semipiousness, N;
semiplastic, A;
semipneumatic, A;
semipneumatical, A;
semipneumatically, v;
semipoisonous, A;
semipoisonously, v;
semipolitical, A;
semipolitician, N;
semipopular, A;
semipopularity, N;
semipopularized, A;
semipopularly, v;
semiporcelain, N;
semipostal, A;
semipractical, A;
semiprecious, A;
semipreserved, A;
semiprimitive, A;
semiprivacy, N;
semiprivate, A;
semipro, AN;
semiproductive, A;
semiproductively, v;
semiproductiveness, N;
semiproductivity, N;
semiprofane, A;
semiprofanely, v;
semiprofaneness, N;
semiprofanity, N;
semiprofessional, AN;
semiprofessionally, v;
semiprogressive, AN;
semiprogressively, v;
semiprogressiveness, N;
semiprone, A;
semipronely, v;
semiproneness, N;
semipropagandist, A;
semipros, p;
semiprotected, A;
semiprotective, A;
semiprotectively, v;
semiproven, A;
semiprovincial, A;
semiprovincially, v;
semipsychologic, A;
semipsychological, A;
semipsychologically, v;
semipsychotic, A;
semipublic, A;
semipunitive, A;
semipunitory, A;
semipurposive, A;
semipurposively, v;
semipurposiveness, N;
semiquaver, N;
semiradical, A;
semiradically, v;
semiradicalness, N;
semirare, A;
semirarely, v;
semirareness, N;
semirationalized, A;
semiraw, A;
semirawly, v;
semirawness, N;
semireactionary, A;
semirealistic, A;
semirealistically, v;
semirebel, N;
semirebellion, N;
semirebellious, A;
semirebelliously, v;
semirebelliousness, N;
semirefined, A;
semireflex, N;
semireflexive, A;
semireflexively, v;
semireflexiveness, N;
semirelief, N;
semireligious, A;
semirepublic, N;
semirepublican, AN;
semiresinous, A;
semiresiny, A;
semiresolute, A;
semiresolutely, v;
semiresoluteness, N;
semirespectability, N;
semirespectable, A;
semiretired, A;
semiretirement, N;
semireverberatory, A;
semirevolution, N;
semirevolutionary, AN;
semirevolutionist, N;
semirhythmic, A;
semirhythmical, A;
semirhythmically, v;
semirigid, A;
semirigorous, A;
semirigorously, v;
semirigorousness, N;
semiromantic, A;
semiromantically, v;
semiround, A;
semirural, A;
semiruralism, N;
semirurally, v;
semis, N;
semisacred, A;
semisaline, A;
semisatiric, A;
semisatirical, A;
semisatirically, v;
semisavage, AN;
semischolastic, A;
semischolastically, v;
semisecrecy, N;
semisecret, A;
semisecretly, v;
semisentimental, A;
semisentimentalized, A;
semisentimentally, v;
semiserious, A;
semiseriously, v;
semiseriousness, N;
semishade, N;
semiskilled, A;
semislave, N;
semisocialism, N;
semisocialist, N;
semisocialistic, A;
semisocialistically, v;
semisoft, |A;
semisolemn, A;
semisolemnity, N;
semisolemnly, v;
semisolemnness, N;
semisolid, AN;
semisomnambulistic, A;
semisomnolence, N;
semisomnolent, A;
semisomnolently, v;
semispeculation, N;
semispeculative, A;
semispeculatively, v;
semispeculativeness, N;
semisphere, N;
semispheric, A;
semispontaneous, A;
semispontaneously, v;
semispontaneousness, N;
semistiff, A;
semistiffly, v;
semistiffness, N;
semistimulating, A;
semistratified, A;
semisubterranean, A;
semisuburban, A;
semisuccess, A;
semisuccessful, A;
semisuccessfully, v;
semisupernatural, A;
semisupernaturally, v;
semisupernaturalness, N;
semisweet, A;
semisynthetic, A;
semitailored, A;
semite, |NA;
semiterrestrial, |A;
semitextural, A;
semitexturally, v;
semitheatric, A;
semitheatrical, A;
semitheatricalism, N;
semitheatrically, v;
semitheological, A;
semitheologically, v;
semitic, |NA;
semitic deity, |h;
semitonally, v;
semitone, N;
semitonic, A;
semitraditional, A;
semitraditionally, v;
semitrailer, N;
semitrained, A;
semitrance, |N;
semitransparency, N;
semitransparent, |A;
semitransparently, v;
semitransparentness, N;
semitropic, |A;
semitropical, A;
semitropically, v;
semitropics, pN;
semitruthful, A;
semitruthfully, v;
semitruthfulness, N;
semituberous, A;
semiundressed, A;
semiurban, A;
semivitreous, A;
semivocal, A;
semivolatile, A;
semivolcanic, A;
semivolcanically, v;
semivoluntary, A;
semivowel, N;
semivulcanized, A;
semiwarfare, N;
semiweekly, ANv;
semiwild, A;
semiwildly, v;
semiwildness, N;
semiyearly, A;
semnopithecus entellus, |h;
semolina, N;
sempatch, |N;
semper fidelis, h;
semper idem, h;
semper paratus, h;
sempiternal, A;
semplice, Av;
sempre, v;
sempstress, N;
sen, N;
sena, N;
senarmontite, N;
senary, A;
senate, N;
senate campaign, |h;
senate race, |h;
senator, N;
senatorial, A;
senatorial courtesy, h;
senatorially, v;
senatorship, N;
senatus consultum, h;
send, VtN;
send around, |V;
send away, |V;
send back, |V;
send down, tV;
send for, |V;
send in, |V;
send off, |V;
send on, |V;
send out, |V;
send packing, |V;
send up, th;
send word, |V;
send-off, N;
sendable, A;
sendal, N;
sendee, N;
sender, N;
sending, ViN;
sendoff, NV;
sendup, |N;
sene, |N;
seneca, |N;
seneca snakeroot, |h;
senecan, |A;
senecio, |N;
senecio aureus, |h;
senecio bigelovii, |h;
senecio cineraria, |h;
senecio cruentus, |h;
senecio doublasii, |h;
senecio glabellus, |h;
senecio jacobaea, |h;
senecio milkanioides, |h;
senecio triangularis, |h;
senecio vulgaris, |h;
senega, N;
senega root, |h;
senega snakeroot, |h;
senegal, |N;
senegal gum, |h;
senegalese, |NA;
senegalese franc, |h;
seneka snakeroot, |h;
senescence, N;
senescent, A;
seneschal, N;
senga root, |h;
senhor, N;
senhoras, p;
senhorita, N;
senhoritas, p;
senile, A;
senile dementia, |h;
senile psychosis, |h;
senility, N;
senior, AN;
senior citizen, h;
senior class, |h;
senior high, |h;
senior high school, h;
senior pilot, |h;
senior status, |h;
senior vice president, |h;
seniorities, p;
seniority, N;
seniority rule, h;
seniti, |N;
senna, N;
senna alata, |h;
senna alexandrina, |h;
senna auriculata, |h;
senna marilandica, |h;
senna obtusifolia, |h;
senna occidentalis, |h;
sennet, N;
sennight, N;
sennit, N;
senor, N;
senora, |N;
senorita, |N;
sens, |N;
sensa, p;
sensate, A;
sensation, N;
sensational, A;
sensationalise, t;
sensationalised, t;
sensationalising, t;
sensationalism, N;
sensationalist, |N;
sensationalistic, |A;
sensationally, v;
sensationism, N;
sensationist, NA;
sensationistic, A;
sensationless, A;
sense, NtV;
sense datum, h;
sense experience, |h;
sense impression, |h;
sense modality, |h;
sense of balance, |h;
sense of direction, |h;
sense of duty, |h;
sense of equilibrium, |h;
sense of hearing, |h;
sense of humor, |h;
sense of humour, |h;
sense of movement, |h;
sense of purpose, |h;
sense of responsibility, |h;
sense of right and wrong, |h;
sense of shame, |h;
sense of smell, |h;
sense of taste, |h;
sense of the meeting, |h;
sense of touch, |h;
sense organ, h;
sense perception, h;
sense stress, h;
sensed, VA;
senseless, A;
senselessly, v;
senselessness, N;
sensibilia, N;
sensibilities, p;
sensibility, N;
sensibilize, |V;
sensible, AN;
sensible horizon, h;
sensibleness, N;
sensibly, v;
sensify, |V;
sensillum, N;
sensillumla, p;
sensing, VN;
sensitisation, N;
sensitiser, N;
sensitive, A;
sensitive fern, |h;
sensitive pea, |h;
sensitive plant, h;
sensitively, v;
sensitiveness, N;
sensitivity, N;
sensitization, N;
sensitize, Vt;
sensitized, VA;
sensitizer, N;
sensitizing, VNA;
sensitometer, N;
sensitometric, A;
sensitometrically, v;
sensitometry, N;
sensor, N;
sensorial, |A;
sensorimotor, A;
sensorimotor area, |h;
sensorimotor region, |h;
sensorineural, |A;
sensorineural hearing loss, |h;
sensorium, N;
sensory, A;
sensory activity, |h;
sensory aphasia, |h;
sensory deprivation, h;
sensory epilepsy, |h;
sensory faculty, |h;
sensory hair, |h;
sensory nerve, |h;
sensory neuron, |h;
sensory receptor, |h;
sensory system, |h;
sensual, A;
sensualisation, N;
sensualism, N;
sensualist, N;
sensualistic, A;
sensualities, p;
sensuality, N;
sensualization, N;
sensualize, tV;
sensualized, t;
sensualizing, t;
sensually, v;
sensualness, |N;
sensum, N;
sensuous, A;
sensuously, |v;
sensuousness, |N;
sent, VA;
sente, |N;
sentence, NtV;
sentence connector, h;
sentence stress, h;
sentence structure, |h;
sentence substitute, h;
sentenced, V;
sentencer, N;
sentencing, V;
sentential, |A;
sentential calculus, h;
sentential connective, h;
sentential function, h;
sententially, v;
sententiosity, N;
sententious, A;
sententiously, v;
sententiousness, N;
senti, p;
sentience, N;
sentiency, |N;
sentient, AN;
sentiently, v;
sentiment, N;
sentimental, A;
sentimental value, h;
sentimentalisation, N;
sentimentalise, |V;
sentimentaliser, N;
sentimentalism, N;
sentimentalist, N;
sentimentalities, p;
sentimentality, N;
sentimentalization, N;
sentimentalize, V;
sentimentalized, V;
sentimentalizing, V;
sentimentally, |v;
sentimentless, A;
sentinel, Nt;
sentinellike, A;
sentinelship, N;
sentries, p;
sentry, N;
sentry box, h;
sentry duty, |h;
sentry go, |h;
senza, P;
seoul, |N;
sep, |N;
sepal, N;
sepaled, A;
sepalled, A;
sepaloid, A;
separability, N;
separable, A;
separableness, N;
separably, v;
separate, VtiAN;
separate from solution, |V;
separate off, |V;
separate out, |V;
separate school, h;
separated, VA;
separated brother, h;
separately, v;
separateness, N;
separates, N;
separating, V;
separation, N;
separation center, h;
separation energy, h;
separation negative, h;
separation of powers, h;
separatism, N;
separatist, NA;
separative, A;
separatively, v;
separativeness, N;
separator, N;
separatory, A;
separatrix, N;
sepia, NA;
sepiidae, |N;
sepiolite, N;
sepoy, N;
seppa, p;
seppa dai, h;
seppuku, N;
sepsis, N;
sept, N;
septa, N;
septal, A;
septal defect, |h;
septaria, p;
septarian, A;
septariate, A;
septarium, N;
septate, A;
septation, |N;
septavalent, A;
septectomies, p;
septectomy, N;
september, |N;
september 17, |h;
september 29, |h;
september elm, |h;
september equinox, |h;
septempartite, A;
septemvir, N;
septemviral, A;
septemvirate, N;
septemviri, p;
septemvirs, p;
septenary, AN;
septendecillion, NA;
septendecillionth, AN;
septennial, A;
septennially, v;
septennium, N;
septentrion, N;
septentrional, A;
septet, N;
septette, |N;
septic, AN;
septic sore throat, |h;
septic tank, h;
septicaemia, N;
septicaemic, A;
septically, v;
septicemia, N;
septicemic, A;
septicemic plague, h;
septicidal, A;
septicity, N;
septifragal, A;
septifragally, v;
septilateral, A;
septillion, N;
septillionth, NA;
septimal, A;
septimana, N;
septimanae, p;
septime, N;
septivalent, A;
septobasidiaceae, |N;
septobasidium, |N;
septobasidium pseudopedicellatum, |h;
septolet, N;
septrional, |A;
septuagenarian, NA;
septuagenaries, p;
septuagenary, AN;
septuagesima, |N;
septuagesima sunday, |h;
septuagint, |N;
septum, N;
septuor, N;
septuple, At;
septupled, V;
septuplet, N;
septuplicate, NA;
septupling, V;
sepulcher, Nt;
sepulchral, A;
sepulchrally, v;
sepulchre, Nt;
sepulchred, t;
sepulchring, t;
sepulture, N;
seq luce, h;
seqq, N;
sequacious, A;
sequaciously, v;
sequaciousness, N;
sequacity, N;
sequel, N;
sequela, N;
sequelae, p;
sequella, |N;
sequence, NV;
sequencer, N;
sequent, AN;
sequential, A;
sequential access, h;
sequential operation, |h;
sequentiality, N;
sequentially, v;
sequentially compact set, h;
sequently, v;
sequester, tV;
sequestered, A;
sequestrable, A;
sequestral, A;
sequestrant, N;
sequestrate, tV;
sequestrated, t;
sequestrating, t;
sequestration, N;
sequestrator, N;
sequestrectomy, N;
sequestrum, N;
sequin, N;
sequined, A;
sequoia, N;
sequoia gigantea, |h;
sequoia sempervirens, |h;
sequoia wellingtonia, |h;
sequoiadendron, |N;
sequoiadendron giganteum, |h;
ser, N;
sera, N;
seraglio, N;
seraglios, p;
serai, N;
serail, |N;
serais, p;
seral, A;
serape, |N;
seraph, N;
seraphic, A;
seraphical, |A;
seraphically, v;
seraphicalness, N;
seraphim, N;
seraphlike, A;
seraphs, p;
serax, |N;
serb, |N;
serbia, |N;
serbian, |NA;
serbo-croat, |N;
serbo-croatian, |N;
serdab, N;
sere, AVN;
serein, N;
serenade, NtiV;
serenaded, V;
serenader, N;
serenading, V;
serenata, N;
serenatas, p;
serendipity, N;
serene, A;
serenely, v;
sereneness, N;
sereness, |N;
serenities, p;
serenity, N;
serenoa, |N;
serenoa repens, |h;
serer, |N;
serf, N;
serfdom, N;
serfhood, |N;
serfish, A;
serfishly, v;
serfishness, N;
serflike, A;
serge, N;
sergeant, N;
sergeant at arms, h;
sergeant at law, h;
sergeant first class, |h;
sergeant fish, |h;
sergeant major, h;
sergeant-at-law, |N;
sergeantfish, N;
sergeantfishes, p;
sergeanty, N;
serger, |N;
serial, NA;
serial correlation, h;
serial killer, |h;
serial murderer, |h;
serial music, |h;
serial number, h;
serial operation, h;
serial port, |h;
serial printer, |h;
serial processing, |h;
serial publication, |h;
serial technique, h;
serialisation, N;
serialise, t;
serialised, t;
serialising, t;
serialism, N;
serialist, N;
serialization, N;
serialize, tV;
serialized, t;
serializing, t;
serially, v;
seriate, A;
seriatim, v;
sericate, A;
sericea lespedeza, |h;
sericeous, A;
sericin, N;
sericite, N;
sericitic, A;
sericocarpus, |N;
sericterium, N;
serictery, |N;
serictteria, p;
sericultural, A;
sericulture, N;
sericulturist, N;
seriema, N;
series, N;
series-wound, N;
serif, N;
serigraph, N;
serigrapher, N;
serigraphy, N;
serin, N;
serine, N;
seringa, N;
serinus, |N;
serinus canaria, |h;
seriocomedy, |N;
seriocomic, A;
seriocomical, |A;
seriocomically, v;
seriola, |N;
seriola dorsalis, |h;
seriola grandis, |h;
seriola zonata, |h;
serious, A;
serious music, |h;
serious-mindedness, |N;
seriously, v;
seriousness, N;
seriph, |N;
seriphidium, |N;
seriphidium canum, |h;
seriphidium maritimum, |h;
seriphidium tridentatum, |h;
seriphus, |N;
seriphus politus, |h;
seriplane, N;
serjeant, N;
serjeant at arms, h;
serjeant at law, h;
serjeant-at-arms, |N;
serjeant-at-law, |N;
serjeanty, N;
sermon, N;
sermon on the mount, |h;
sermonically, v;
sermonise, ti;
sermonised, ti;
sermoniser, N;
sermonising, ti;
sermonize, V;
sermonized, V;
sermonizer, N;
sermonizing, V;
serograph, |N;
serologic, A;
serological, A;
serologically, v;
serologist, N;
serology, N;
seromucous, A;
seroresistant, A;
serosa, N;
serositis, N;
serosity, N;
serotherapist, N;
serotherapy, N;
serotinal, A;
serotine, AN;
serotonin, N;
serous, A;
serous fluid, h;
serous membrane, h;
serousness, N;
serow, N;
serpasil, |N;
serpent, N;
serpent fern, |h;
serpent star, h;
serpent-worship, |N;
serpentes, |N;
serpentiform, A;
serpentine, AN;
serpentine stretcher, h;
serpentinization, N;
serpentinize, t;
serpentinized, t;
serpentinizing, t;
serpiginous, A;
serpigo, N;
serpulid, N;
serranid, NA;
serranid fish, |h;
serranidae, |N;
serranus, |N;
serranus subligarius, |h;
serrasalmus, |N;
serrate, AVt;
serrate leaf, |h;
serrated, VA;
serrated wrack, |h;
serrating, V;
serration, N;
serratula, |N;
serratula tinctoria, |h;
serratus, |N;
serratus anterior, |h;
serratus magnus, |h;
serratus muscles, |h;
serratus posterior, |h;
serratus posterior inferior, |h;
serratus posterior superior, |h;
serried, A;
serriedly, v;
serriedness, N;
serriform, A;
serrulate, A;
serrulation, N;
serrurerie, N;
serry, it;
serrying, it;
sertoli cell, |h;
sertoli's cell, |h;
sertularia, |N;
sertularian, N;
serum, N;
serum albumin, h;
serum disease, |h;
serum globulin, h;
serum hepatitis, h;
serum prothrombin accelerator, h;
serum sickness, h;
serum therapy, |h;
serumal, A;
servable, A;
serval, N;
servals, p;
servant, N;
servant girl, |h;
servantless, A;
servantlike, A;
serve, VtNi;
serve up, |V;
served, V;
server, N;
service, NtV;
service abroad, |h;
service ace, h;
service agency, |h;
service area, h;
service book, h;
service break, |h;
service bureau, |h;
service call, |h;
service cap, h;
service ceiling, h;
service charge, h;
service club, |h;
service contract, |h;
service cutback, |h;
service department, |h;
service door, |h;
service elevator, h;
service entrance, h;
service firm, |h;
service flat, h;
service industry, h;
service line, h;
service medal, h;
service module, h;
service of process, |h;
service pipe, h;
service program, |h;
service road, h;
service routine, |h;
service staff, |h;
service station, h;
service stripe, h;
service tree, h;
serviceability, N;
serviceable, A;
serviceableness, N;
serviceably, v;
serviceberries, p;
serviceberry, N;
serviced, VA;
serviceman, N;
servicemen, p;
services, N;
servicing, VN;
servient tenement, h;
serviette, N;
servile, A;
servile work, h;
servilely, v;
servileness, N;
servility, N;
serving, N;
serving cart, |h;
serving dish, |h;
serving girl, |h;
servitor, N;
servitude, N;
servo, AN;
servo system, h;
servo tab, h;
servoed, V;
servoing, V;
servomechanical, A;
servomechanically, v;
